Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2568600,78724,0,30.644
64,8732603,88161,1.000,10.094
128,56750551,175494,10.200,3.091
256,435880352,15185483,86.200,34.838
512,3452652230,131753829,699.800,38.159
831,14716213504,10084317,2395.300,.684
1024,27517739147,1021005504,5606.600,37.103
2048,219697744123,8189267841,55606.100,37.274
