Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2554353,81101,0,31.747
64,8629179,87239,1.000,10.108
128,56182597,565314,10.500,10.061
256,432287865,16008855,92.800,37.032
512,3423784968,132747338,751.300,38.771
831,14596793395,9231570,2554.900,.631
1024,27288110441,1057682417,6049.100,38.759
2048,217969967801,8439046967,56567.300,38.715
