
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2555287,85874,0,33.606
32,2564004,84589,0,32.990
32,2558867,82818,0,32.365
32,2551199,76147,0,29.847
32,2560082,82280,0,32.139
32,2541700,74942,0,29.484
32,2551662,78409,0,30.728
32,2553815,82175,0,32.177
32,2559367,83339,0,32.562
32,2547552,80442,0,31.576
32,Avg,2554353,81101,0,31.747

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8621084,79794,1,9.255
64,8628198,93790,1,10.870
64,8615617,81012,1,9.402
64,8633909,79129,1,9.164
64,8634965,89287,1,10.340
64,8635548,88933,1,10.298
64,8639074,90182,1,10.438
64,8639450,100863,1,11.674
64,8624866,88900,1,10.307
64,8619080,80506,1,9.340
64,Avg,8629179,87239,1.000,10.108

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,56189327,565126,11,10.057
128,56189450,578419,13,10.294
128,56200021,558616,12,9.939
128,56185347,560937,11,9.983
128,56193979,560414,11,9.972
128,56174032,547446,10,9.745
128,56173279,576530,9,10.263
128,56172676,558645,9,9.945
128,56174307,570404,9,10.154
128,56173558,576604,10,10.264
128,Avg,56182597,565314,10.500,10.061

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,432137066,16190931,95,37.467
256,432126832,15676791,87,36.278
256,432418876,16476718,91,38.103
256,432174378,15668138,88,36.254
256,432489571,16509473,109,38.173
256,432446188,15806257,95,36.550
256,432416956,15696323,94,36.299
256,432128889,16429531,93,38.019
256,432134693,15897205,88,36.787
256,432405206,15737188,88,36.394
256,Avg,432287865,16008855,92.800,37.032

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3425522029,132819046,841,38.773
512,3423313479,132498351,811,38.704
512,3424490047,133190187,783,38.893
512,3423014731,132953674,719,38.841
512,3424169448,132591799,734,38.722
512,3422896111,132576013,693,38.732
512,3422900825,132579856,710,38.733
512,3424199238,132551724,731,38.710
512,3424272694,133156197,746,38.885
512,3423071087,132556541,745,38.724
512,Avg,3423784968,132747338,751.300,38.771

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14594545456,9071099,2680,.621
831,14599913685,9611805,2588,.658
831,14595783235,9499206,2776,.650
831,14598562073,9279037,2448,.635
831,14594389852,8942014,2459,.612
831,14601302485,9742309,2665,.667
831,14601184926,9736051,2620,.666
831,14594084952,8769291,2443,.600
831,14594078756,8808020,2456,.603
831,14594088533,8856873,2414,.606
831,Avg,14596793395,9231570,2554.900,.631

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27292930929,1056324975,5957,38.703
1024,27297294696,1059850510,6274,38.826
1024,27282339552,1058085812,6449,38.782
1024,27292854772,1055167663,5848,38.660
1024,27284073722,1057941769,6203,38.775
1024,27282868947,1057924212,6302,38.776
1024,27293467136,1058797934,5946,38.793
1024,27292085522,1057689560,5899,38.754
1024,27281667024,1057622548,5835,38.766
1024,27281522118,1057419191,5778,38.759
1024,Avg,27288110441,1057682417,6049.100,38.759

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,217893023340,8387330445,52749,38.492
2048,217887314278,8379375315,52251,38.457
2048,217993188622,8455526241,57887,38.788
2048,218010359933,8476553331,59219,38.881
2048,218055806148,8487919510,61219,38.925
2048,218027212102,8472652902,58947,38.860
2048,217893182459,8391713992,54024,38.512
2048,218001849638,8471943881,57673,38.861
2048,217892865559,8386837971,51258,38.490
2048,218044875932,8480616091,60446,38.893
2048,Avg,217969967801,8439046967,56567.300,38.715
