
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2648641,80900,0,30.543
32,2641439,75690,0,28.654
32,2667054,81559,0,30.580
32,2662392,79803,0,29.974
32,2648917,76792,0,28.989
32,2652651,82041,0,30.927
32,2645940,75356,0,28.479
32,2636587,71050,0,26.947
32,2654261,80185,0,30.209
32,2659440,80643,0,30.323
32,Avg,2651732,78401,0,29.562

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,9407895,92362,1,9.817
64,9395443,89282,1,9.502
64,9402019,95173,1,10.122
64,9383871,86043,1,9.169
64,9400213,96954,1,10.314
64,9388537,89548,1,9.538
64,9405596,92129,1,9.795
64,9381875,85892,1,9.155
64,9389037,86373,1,9.199
64,9403646,97889,1,10.409
64,Avg,9395813,91164,1.000,9.702

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,62320467,304438,12,4.885
128,62337005,293789,15,4.712
128,62340918,289683,15,4.646
128,62326382,304945,14,4.892
128,62320713,306510,12,4.918
128,62333719,285824,10,4.585
128,62326515,299298,10,4.802
128,62319056,300395,10,4.820
128,62318681,284026,10,4.557
128,62318410,304917,10,4.892
128,Avg,62326186,297382,11.800,4.770

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,481267445,1777566,98,3.693
256,481434544,1750969,93,3.636
256,481426657,1778740,97,3.694
256,481267470,1762287,102,3.661
256,481466083,1781171,103,3.699
256,481264516,1763200,98,3.663
256,481426338,1773394,98,3.683
256,481436436,1762738,99,3.661
256,481270185,1768591,88,3.674
256,481266798,1778712,89,3.695
256,Avg,481352647,1769736,96.500,3.675

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3817336227,20275630,771,5.311
512,3817461365,20392510,813,5.341
512,3815950835,20754325,808,5.438
512,3815922537,21015841,933,5.507
512,3817680236,20607600,899,5.397
512,3818218007,20708158,1040,5.423
512,3818554426,21009095,1151,5.501
512,3815925107,21021497,968,5.508
512,3817960201,20614080,922,5.399
512,3815927241,20759869,808,5.440
512,Avg,3817093618,20715860,911.300,5.426

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,16277326278,67955420,3780,4.174
831,16277312319,67999271,5110,4.177
831,16277312301,67973063,4727,4.175
831,16286988264,68752890,3837,4.221
831,16277306598,67978179,4586,4.176
831,16292946018,69394211,5494,4.259
831,16293111589,69393064,5559,4.259
831,16277315333,68121225,5522,4.185
831,16288762288,69294605,4863,4.254
831,16288414174,68956599,4672,4.233
831,Avg,16283679516,68581852,4815.000,4.211

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,30450632619,173243403,10383,5.689
1024,30425313221,175555052,8350,5.770
1024,30443813575,171444031,8696,5.631
1024,30425280635,175765289,9007,5.776
1024,30445522592,173822876,9276,5.709
1024,30425285259,174244928,7678,5.726
1024,30425282550,173157267,7329,5.691
1024,30425276601,175676360,9216,5.774
1024,30447124343,174206472,9351,5.721
1024,30441817188,173056397,8530,5.684
1024,Avg,30435534858,174017207,8781.600,5.717

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,243029136036,1855574938,80960,7.635
2048,243181109843,1843411075,75479,7.580
2048,243028899751,1819141642,72411,7.485
2048,243028923785,1834638166,71402,7.549
2048,243028908282,1816947048,68943,7.476
2048,243028927466,1856856323,71815,7.640
2048,243028892195,1810452873,73718,7.449
2048,243170958570,1792890223,72824,7.372
2048,243028896572,1836941989,72170,7.558
2048,243172430992,1634599628,73976,6.721
2048,Avg,243072708349,1810145390,73369.800,7.446
