Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2572738,78832,0,8688876,9.071
64,8717441,82649,1.000,21361949,3.868
128,56897042,150142,9.700,120113795,1.249
256,437954645,6892238,81.900,897569822,7.678
512,3469997371,131567954,714.400,7071410782,18.605
831,14794296273,12276952,2565.100,30104746781,.407
1024,27657777967,995406343,6018.700,56267047632,17.690
2048,220882519995,7998467897,48629.000,449040029346,17.811
