
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2590810,99554,0,38.425
32,2567470,77690,0,30.259
32,2556071,75130,0,29.392
32,2577592,76570,0,29.706
32,2566962,75891,0,29.564
32,2570954,82498,0,32.088
32,2577432,83908,0,32.554
32,2573470,84351,0,32.777
32,2575469,89207,0,34.637
32,2563192,79603,0,31.056
32,Avg,2571942,82440,0,32.045

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8682123,83151,1,9.577
64,8683597,82801,1,9.535
64,8708193,90971,1,10.446
64,8674543,78392,1,9.037
64,8699988,93841,1,10.786
64,8689369,90950,1,10.466
64,8692068,84731,1,9.748
64,8678697,81523,1,9.393
64,8688194,85475,1,9.838
64,8682349,78802,1,9.076
64,Avg,8687912,85063,1.000,9.790

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,56588483,162267,12,2.867
128,56593019,190922,11,3.373
128,56567339,197628,12,3.493
128,56563564,180402,10,3.189
128,56572819,168334,9,2.975
128,56592194,170012,9,3.004
128,56566125,177508,9,3.138
128,56578236,168157,9,2.972
128,56566765,164591,9,2.909
128,56567120,166875,9,2.950
128,Avg,56575566,174669,9.900,3.087

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,434648613,14976139,94,34.455
256,434576712,15765740,85,36.278
256,434385022,14748906,82,33.953
256,434692824,15305823,86,35.210
256,434458325,15475644,99,35.620
256,434802118,15759864,105,36.246
256,434382944,15765082,90,36.293
256,434684120,15585333,90,35.854
256,434686739,15581884,88,35.846
256,434463400,15611645,105,35.933
256,Avg,434578081,15457606,92.400,35.568

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3440759752,130930220,755,38.052
512,3440768098,131262076,799,38.149
512,3442353139,130630078,777,37.947
512,3440901994,130749332,718,37.998
512,3440739061,131407286,703,38.191
512,3442576164,131912705,776,38.318
512,3442632466,131831813,888,38.293
512,3442942120,131115332,906,38.082
512,3440401814,131559996,918,38.239
512,3443475659,131987592,1018,38.329
512,Avg,3441755026,131338643,825.800,38.159

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14670112295,10669430,2896,.727
831,14661037966,9275729,2620,.632
831,14661021368,9205336,2482,.627
831,14661018411,9405708,2800,.641
831,14671347756,10018399,3084,.682
831,14661036696,9417250,2800,.642
831,14668116452,9899961,2958,.674
831,14670713054,9965962,3203,.679
831,14661152737,9378801,2982,.639
831,14670722705,10846522,3219,.739
831,Avg,14665627944,9808309,2904.400,.668

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27409243646,1042504186,7331,38.034
1024,27429192476,1045222762,7360,38.106
1024,27407883109,1042509042,6318,38.036
1024,27422522274,1038990433,6463,37.888
1024,27407885280,1041915719,6644,38.015
1024,27407878949,1042010211,7296,38.018
1024,27425231356,1040849574,6944,37.952
1024,27407878607,1041975830,6609,38.017
1024,27418126232,1037421692,5404,37.837
1024,27418445231,1038811995,5456,37.887
1024,Avg,27415428716,1041221144,6582.500,37.979

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,218882634931,8141073956,47905,37.193
2048,218882463423,8146342682,47586,37.217
2048,218989410555,8342190160,53798,38.094
2048,218985664712,8306385944,53436,37.931
2048,218882459186,8119547174,48766,37.095
2048,218882425911,8157430432,49119,37.268
2048,219013698734,8348979088,57850,38.120
2048,218903842813,8118857027,56547,37.088
2048,218887382033,8120922182,50861,37.100
2048,219074515220,8353050835,65169,38.128
2048,Avg,218938449751,8215477948,53103.700,37.523
