
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2750779,93240,0,33.895
32,2611866,84134,0,32.212
32,2567303,86752,0,33.791
32,2556217,75101,0,29.379
32,2576589,83459,0,32.391
32,2556209,75158,0,29.402
32,2562769,77514,0,30.246
32,2569069,83110,0,32.350
32,2577197,86198,0,33.446
32,2561493,75710,0,29.556
32,Avg,2588949,82037,0,31.666

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8707999,82096,1,9.427
64,8731615,88843,1,10.174
64,8706561,79372,1,9.116
64,8728599,93802,1,10.746
64,8728018,87130,1,9.982
64,8709910,84492,1,9.700
64,8706989,78447,1,9.009
64,8710669,82466,1,9.467
64,8703006,81387,1,9.351
64,8727026,89812,1,10.291
64,Avg,8716039,84784,1.000,9.726

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,56894911,159951,13,2.811
128,56907369,148051,10,2.601
128,56907218,148806,11,2.614
128,56901785,155785,10,2.737
128,56897000,147111,10,2.585
128,56895569,174700,9,3.070
128,56900201,153136,9,2.691
128,56895537,143799,9,2.527
128,56899141,152810,9,2.685
128,56895587,142129,9,2.498
128,Avg,56899431,152627,9.900,2.681

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,438080595,6787597,93,15.493
256,437901308,6991148,80,15.965
256,437895186,6891719,82,15.738
256,438039224,6680672,85,15.251
256,438031194,6886164,82,15.720
256,437901213,7072138,82,16.150
256,438020254,6742305,82,15.392
256,437902193,7091257,83,16.193
256,437892650,6550068,83,14.958
256,438032943,6922653,80,15.803
256,Avg,437969676,6861572,83.200,15.666

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3469012704,132017463,690,38.056
512,3470126592,130950214,665,37.736
512,3470073695,131013961,659,37.755
512,3469010743,132014435,675,38.055
512,3469017855,131532515,670,37.916
512,3469012313,132018274,661,38.056
512,3470148078,130893001,670,37.719
512,3470162004,130152527,667,37.506
512,3469027747,129861244,658,37.434
512,3470133579,130893195,665,37.719
512,Avg,3469572531,131134682,668.000,37.795

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14795970966,12242007,2453,.827
831,14791528044,11903335,2405,.804
831,14791528592,11891190,2462,.803
831,14795703708,12190994,2428,.823
831,14795884031,12218568,2450,.825
831,14795665284,12172548,2416,.822
831,14791531318,11964361,2509,.808
831,14791527282,11918896,2409,.805
831,14795859264,12210682,2441,.825
831,14791530258,11857859,2418,.801
831,Avg,14793672874,12057044,2439.100,.814

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27660149154,992406045,5410,35.878
1024,27650380090,1000827321,5415,36.195
1024,27660065383,993360231,5421,35.913
1024,27650378463,1002492867,5595,36.256
1024,27660106235,992667356,5422,35.888
1024,27650372772,1001109737,5466,36.206
1024,27660038724,1006416480,5423,36.385
1024,27650379969,1002429869,5488,36.253
1024,27650391901,1041186930,5571,37.655
1024,27660151279,992610977,5449,35.885
1024,Avg,27655241397,1002550781,5466.000,36.251

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,220917794403,8054198246,47360,36.457
2048,220831136107,8394999061,53057,38.015
2048,220832328809,8164264460,51953,36.970
2048,220832676676,8188470110,52464,37.079
2048,220918098114,8075764340,47805,36.555
2048,220832449723,8284069087,45108,37.512
2048,220917867199,8048532382,47777,36.432
2048,220831504670,8227548617,52170,37.257
2048,220917755310,8043257854,47747,36.408
2048,220926703498,8046810224,50521,36.422
2048,Avg,220875831450,8152791438,49596.200,36.910
