Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2651732,78401,0,29.562
64,9395813,91164,1.000,9.702
128,62326186,297382,11.800,4.770
256,481352647,1769736,96.500,3.675
512,3817093618,20715860,911.300,5.426
831,16283679516,68581852,4815.000,4.211
1024,30435534858,174017207,8781.600,5.717
2048,243072708349,1810145390,73369.800,7.446
