
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2548581,75661,0,29.687
32,2541549,75369,0,29.654
32,2566683,82520,0,32.150
32,2563897,80812,0,31.519
32,2547988,77568,0,30.442
32,2564156,81426,0,31.755
32,2541760,74816,0,29.434
32,2551142,75754,0,29.694
32,2560680,80730,0,31.526
32,2542273,75129,0,29.551
32,Avg,2552870,77978,0,30.541

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8576692,114057,1,13.298
64,8604669,147666,1,17.161
64,8577455,115152,1,13.424
64,8593095,145909,1,16.979
64,8590171,140520,1,16.358
64,8591825,144573,1,16.826
64,8580779,117346,1,13.675
64,8581691,115450,1,13.453
64,8596786,148333,1,17.254
64,8575172,115018,1,13.412
64,Avg,8586833,130402,1.000,15.184

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,55863471,2111145,15,37.791
128,55835966,2418999,12,43.323
128,55833613,2394899,10,42.893
128,55837856,2377088,10,42.571
128,55860615,2161991,11,38.703
128,55873297,2117666,10,37.901
128,55831122,2433949,9,43.594
128,55850476,2426583,9,43.447
128,55834015,2109144,10,37.775
128,55834840,2396444,10,42.920
128,Avg,55845527,2294790,10.600,41.091

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,429548016,16390428,91,38.157
256,429381636,16460773,89,38.335
256,429660035,16373072,87,38.107
256,429382036,16525147,91,38.485
256,429710634,16459363,90,38.303
256,429667447,16489404,89,38.377
256,429380120,16394642,86,38.182
256,429689193,16457053,88,38.299
256,429382314,16555643,91,38.556
256,429513538,16363264,83,38.097
256,Avg,429531496,16446878,88.500,38.289

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3402292622,133714801,761,39.301
512,3401136273,133872683,923,39.361
512,3401435620,133918867,851,39.371
512,3402631747,133893897,795,39.350
512,3401020976,133794582,793,39.339
512,3403014667,133895685,836,39.346
512,3401177535,133924502,839,39.375
512,3403304191,134005380,835,39.375
512,3401009318,133852540,835,39.356
512,3401063736,133849510,813,39.355
512,Avg,3401808668,133872244,828.100,39.352

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14505447748,60825619,2518,4.193
831,14504479901,62038067,2558,4.277
831,14502087577,61220822,2659,4.221
831,14505664016,61782075,2572,4.259
831,14501536945,61347928,2692,4.230
831,14500695946,61146131,2593,4.216
831,14500514168,61075583,2592,4.211
831,14506637983,61748616,2641,4.256
831,14506932939,61469055,2654,4.237
831,14503720973,61378404,2783,4.231
831,Avg,14503771819,61403230,2626.200,4.233

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27125562727,1071192006,7915,39.490
1024,27115252931,1070374027,7809,39.474
1024,27118710186,1069397005,7193,39.433
1024,27109355614,1069589254,7327,39.454
1024,27125471151,1070573810,7840,39.467
1024,27107542269,1069808227,7636,39.465
1024,27120809816,1069983302,7389,39.452
1024,27105884071,1069640038,7647,39.461
1024,27132275593,1070006775,7934,39.436
1024,27130660995,1069586890,7919,39.423
1024,Avg,27119152535,1070015133,7660.900,39.455

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,216482919340,8560866819,61776,39.545
2048,216487934443,8562379080,61798,39.551
2048,216477765133,8557880681,60425,39.532
2048,216650993248,8557485298,65244,39.498
2048,216653520252,8561195466,65427,39.515
2048,216483316151,8562230442,61452,39.551
2048,216636362510,8559940760,64624,39.512
2048,216487778053,8562511727,61308,39.551
2048,216478315387,8561418608,60962,39.548
2048,216505497100,8562418414,61599,39.548
2048,Avg,216534440161,8560832729,62461.500,39.535
