
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2550009,77052,0,30.216
32,2549615,76460,0,29.988
32,2556212,89207,0,34.898
32,2578224,81641,0,31.665
32,2567204,82894,0,32.289
32,2543124,74741,0,29.389
32,2564430,83516,0,32.567
32,2565858,85378,0,33.274
32,2549176,72554,0,28.461
32,2556770,78685,0,30.775
32,Avg,2558062,80212,0,31.352

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8606753,142968,1,16.611
64,8598191,142874,1,16.616
64,8595752,118730,1,13.812
64,8584040,117860,1,13.730
64,8596612,140724,1,16.369
64,8603342,137338,1,15.963
64,8588750,116714,1,13.589
64,8598944,145046,1,16.867
64,8597764,120747,1,14.044
64,8599421,142351,1,16.553
64,Avg,8596956,132535,1.000,15.415

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,55696858,2162645,15,38.828
128,55695371,2163822,12,38.851
128,55661469,2518479,13,45.246
128,55669126,2515066,12,45.178
128,55696194,2163678,13,38.847
128,55693237,2166631,10,38.902
128,55669890,2461222,9,44.211
128,55673324,2507966,10,45.047
128,55664399,2157204,10,38.753
128,55661910,2444846,9,43.923
128,Avg,55678177,2326155,11.300,41.778

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,428334206,16857535,114,39.356
256,428330175,16861839,105,39.366
256,428039726,16873166,106,39.419
256,428047850,16878247,105,39.430
256,428382284,16850874,106,39.336
256,428040915,16865778,101,39.402
256,428356063,16853258,105,39.344
256,428282201,16862146,109,39.371
256,428243528,16894846,109,39.451
256,428038535,16865992,103,39.402
256,Avg,428209548,16866368,106.300,39.387

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3390183059,134362579,980,39.632
512,3392124061,134408998,994,39.623
512,3391960098,134382558,969,39.617
512,3390181334,134344380,979,39.627
512,3392267023,134447897,999,39.633
512,3390448506,134427859,1095,39.648
512,3390593143,134466853,1078,39.658
512,3392358735,134548645,1009,39.662
512,3390186107,134350316,973,39.629
512,3391956920,134414357,976,39.627
512,Avg,3391225898,134415444,1005.200,39.635

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14464749871,78098242,2870,5.399
831,14457491976,77034734,2642,5.328
831,14462506272,77600929,2658,5.365
831,14458202489,77106746,2768,5.333
831,14458597267,77232409,2863,5.341
831,14465684563,78250247,2905,5.409
831,14458607598,77170267,2762,5.337
831,14465649139,78211383,2898,5.406
831,14458469998,77177589,2800,5.337
831,14464062565,77797054,2756,5.378
831,Avg,14461402173,77567960,2792.200,5.363

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,27037275998,1075162916,7980,39.765
1024,27021171116,1074050327,7914,39.748
1024,27020457791,1073987437,7833,39.747
1024,27019762797,1073884338,7786,39.744
1024,27028070291,1074763141,8116,39.764
1024,27036965257,1074359513,8033,39.736
1024,27019770796,1073873162,8016,39.743
1024,27034366595,1075057254,7820,39.766
1024,27019765278,1073789861,7868,39.740
1024,27020183635,1073838436,7868,39.742
1024,Avg,27025778955,1074276638,7923.400,39.749

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,215931481592,8594267256,65592,39.800
2048,215929071767,8595662213,65026,39.807
2048,215949735152,8600123521,66437,39.824
2048,215795042324,8593644146,65411,39.823
2048,215944645011,8597662860,67266,39.814
2048,215959477668,8600875525,67968,39.826
2048,215820562554,8596685469,65724,39.832
2048,215929970361,8595523222,65569,39.806
2048,215926531821,8596934389,65718,39.814
2048,215795664510,8593269576,66829,39.821
2048,Avg,215898218276,8596464817,66154.000,39.816
