Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2557980,78735,0,30.776
64,8594243,137500,1.400,15.997
128,55705845,2321691,10.900,41.677
256,427678057,16945521,132.000,39.621
512,3384113636,134889561,1098.800,39.859
831,14422599679,647952626,5483.900,44.925
1024,26974335786,1082420041,21138.000,40.127
2048,215778981435,13872478494,300683.300,64.289
