Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2001721,84877,0,7584020,11.185
64,3832611,95776,0,11481257,8.340
128,16983777,374605,3.600,38979467,9.609
256,115252570,2324214,30.700,240127214,9.678
512,884244900,18338122,326.500,1801221260,10.180
831,3753596643,79511222,1177.300,7608938752,10.449
1024,6957132002,143797692,2266.800,14071257770,10.218
2048,55223144584,1142825815,15225.800,111352350709,10.262
