Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2469306,79599,0,8555302,9.296
64,7778868,127759,.400,19808182,6.448
128,49305689,2372554,9.800,107502393,22.069
256,376995733,16986121,148.400,796351390,21.329
512,2979460016,134925873,1093.400,6252087801,21.580
831,12694740649,647116382,4217.000,26601137236,24.326
1024,23738098661,1081759699,17161.200,49739199840,21.748
2048,189607405297,13890211448,197347.200,397178352411,34.971
