Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)
2,1636036,80544,0
4,1639092,77721,0
8,1654382,78440,0
16,1765217,83374,0
32,2563724,76797,0
64,8729702,86875,1.000
128,56761079,172139,9.800
256,435904928,15031361,81.300
512,3452393429,131424408,676.500
1024,27517599429,1023872371,5516.200
2048,219702768376,8006113697,47962.300
