Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1647193,97135,0
2,2,1642952,86862,0
2,3,1646067,88015,0
2,4,1639638,74881,0
2,5,1653865,83659,0
2,6,1626227,73786,0
2,7,1648885,83901,0
2,8,1651168,83151,0
2,9,1681420,83206,0
2,10,1653448,77344,0
2,Avg,1649086,83194,0

# Matrix size 4
4,1,1633351,74806,0
4,2,1649624,85422,0
4,3,1649732,96708,0
4,4,1638979,77377,0
4,5,1630111,74547,0
4,6,1640802,73455,0
4,7,1651220,75185,0
4,8,1634591,74212,0
4,9,1652972,83769,0
4,10,1633978,74676,0
4,Avg,1641536,79015,0

# Matrix size 8
8,1,1647566,74977,0
8,2,1671833,92781,0
8,3,1676242,82092,0
8,4,1654124,89753,0
8,5,1651184,76706,0
8,6,1665035,84368,0
8,7,1661853,83914,0
8,8,1670855,96132,0
8,9,1649125,73940,0
8,10,1670102,83652,0
8,Avg,1661791,83831,0

# Matrix size 16
16,1,1758184,77822,0
16,2,1779491,82494,0
16,3,1799945,83777,0
16,4,1887129,87207,0
16,5,1762760,75386,0
16,6,1846807,84258,0
16,7,1804207,78956,0
16,8,1779187,79866,0
16,9,1755558,73623,0
16,10,1777926,77973,0
16,Avg,1795119,80136,0

# Matrix size 32
32,1,2558218,92469,0
32,2,2559169,75748,0
32,3,2568042,84763,0
32,4,2551470,72027,0
32,5,2547990,75666,0
32,6,2560761,77089,0
32,7,2570186,80141,0
32,8,2575928,88948,0
32,9,2558880,74505,0
32,10,2573226,85802,0
32,Avg,2562387,80715,0

# Matrix size 64
64,1,8607497,135640,1
64,2,8597775,116835,1
64,3,8613554,143378,1
64,4,8605422,142015,1
64,5,8587021,116267,1
64,6,8596172,116795,1
64,7,8595738,117340,1
64,8,8590834,113837,1
64,9,8606822,145714,1
64,10,8588987,115746,1
64,Avg,8598982,126356,1.000

# Matrix size 128
128,1,55669699,2492483,10
128,2,55667946,2488885,13
128,3,55686328,2160627,11
128,4,55668096,2471334,10
128,5,55667952,2461100,10
128,6,55675005,2454157,9
128,7,55681802,2161091,10
128,8,55663997,2504604,10
128,9,55667056,2490569,11
128,10,55703189,2161010,10
128,Avg,55675107,2384586,10.400

# Matrix size 256
256,1,428368887,16871783,114
256,2,428207844,16849160,97
256,3,428049766,16882935,100
256,4,428204477,16859732,98
256,5,428045618,16863997,95
256,6,428044978,16867909,96
256,7,428055935,16903151,100
256,8,428042843,16910347,101
256,9,428211921,16838991,92
256,10,428185097,16839452,95
256,Avg,428141736,16868745,98.800

# Matrix size 512
512,1,3390189005,134353630,969
512,2,3392231349,134424705,992
512,3,3391933130,134368351,962
512,4,3390188688,134345224,951
512,5,3390192117,134342764,953
512,6,3391883959,134384252,957
512,7,3390178082,134397481,974
512,8,3391867850,134379109,960
512,9,3391804239,134370913,953
512,10,3391919405,134391758,977
512,Avg,3391238782,134375818,964.800

# Matrix size 1024
1024,1,27019771740,1073900025,7763
1024,2,27019783353,1073786162,7728
1024,3,27033886477,1072415036,7902
1024,4,27034016180,1072544985,7905
1024,5,27019776182,1073873106,7694
1024,6,27019789919,1073939429,7780
1024,7,27033866518,1072695043,7896
1024,8,27034905383,1072982490,8126
1024,9,27019763967,1073869410,7691
1024,10,27034532766,1072752598,7985
1024,Avg,27027009248,1073275828,7847.000

# Matrix size 2048
2048,1,215786398461,8590252582,61376
2048,2,215896989897,8587045112,61561
2048,3,215786399419,8590675585,61479
2048,4,215896989346,8584262565,61484
2048,5,215786397903,8592006769,61705
2048,6,215786402050,8591339547,61381
2048,7,215896861178,8584962812,61501
2048,8,215897345742,8585353827,61620
2048,9,215897564863,8584908913,61597
2048,10,215786382107,8591271751,61873
2048,Avg,215841773096,8588207946,61557.700
