Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)
2,1636720,79002,0
4,1641693,81393,0
8,1655978,80047,0
16,1765019,82664,0
32,2555106,81580,0
64,8598026,132083,1.000
128,55715803,2451610,12.400
256,427715599,16938907,128.500
512,3383926993,134882632,1182.700
1024,26975467413,1078982844,9366.300
2048,215338408304,8619007812,67440.100
