Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1652193,93469,0
2,2,1631983,77795,0
2,3,1635670,86831,0
2,4,1642112,80657,0
2,5,1654503,79686,0
2,6,1628307,73653,0
2,7,1644693,82086,0
2,8,1632460,73859,0
2,9,1629913,73805,0
2,10,1625765,73256,0
2,Avg,1637759,79509,0

# Matrix size 4
4,1,1651949,94201,0
4,2,1653020,88639,0
4,3,1649589,84735,0
4,4,1633358,74136,0
4,5,1652391,75496,0
4,6,1648076,81953,0
4,7,1645068,80732,0
4,8,1636684,73703,0
4,9,1634022,73797,0
4,10,1651460,83926,0
4,Avg,1645561,81131,0

# Matrix size 8
8,1,1672516,84095,0
8,2,1650982,74875,0
8,3,1666341,76016,0
8,4,1686781,82709,0
8,5,1653209,86925,0
8,6,1678588,88982,0
8,7,1671749,88533,0
8,8,1661595,84641,0
8,9,1657896,75422,0
8,10,1648532,75374,0
8,Avg,1664818,81757,0

# Matrix size 16
16,1,1760275,76817,0
16,2,1778074,87394,0
16,3,1770561,83481,0
16,4,1754219,70762,0
16,5,1770313,75190,0
16,6,1778740,76346,0
16,7,1755683,75545,0
16,8,1753059,75344,0
16,9,1776633,82543,0
16,10,1774132,74507,0
16,Avg,1767168,77792,0

# Matrix size 32
32,1,2550893,72779,0
32,2,2553183,71399,0
32,3,2563983,84802,0
32,4,2547532,73916,0
32,5,2568806,82539,0
32,6,2556273,75641,0
32,7,2549293,72523,0
32,8,2558780,84749,0
32,9,2567558,85563,0
32,10,2568731,81456,0
32,Avg,2558503,78536,0

# Matrix size 64
64,1,8587699,112667,1
64,2,8589969,119929,1
64,3,8593439,114061,1
64,4,8601303,115473,1
64,5,8605128,146603,1
64,6,8611632,144408,1
64,7,8597156,139084,1
64,8,8593217,124982,1
64,9,8606712,155199,1
64,10,8603067,150461,1
64,Avg,8598932,132286,1.000

# Matrix size 128
128,1,55704156,2493538,12
128,2,55726942,2160953,15
128,3,55696519,2488338,13
128,4,55718169,2160261,12
128,5,55701428,2492763,11
128,6,55701303,2512694,9
128,7,55718257,2486832,10
128,8,55720103,2405159,11
128,9,55718628,2484791,12
128,10,55720770,2518397,13
128,Avg,55712627,2420372,11.800

# Matrix size 256
256,1,427627597,16970112,157
256,2,427978558,16989067,142
256,3,427952369,16964222,124
256,4,427518567,16928093,117
256,5,428050788,16924183,158
256,6,427509602,16929792,119
256,7,427510139,16896660,110
256,8,427516051,16891622,109
256,9,427667765,16886584,109
256,10,427559503,16910176,114
256,Avg,427689093,16929051,125.900

# Matrix size 512
512,1,3382912807,134846627,1030
512,2,3384404692,134755273,955
512,3,3382764090,134813077,975
512,4,3384446962,134760616,963
512,5,3384457339,134756844,970
512,6,3384407963,134758399,958
512,7,3382771545,134812883,964
512,8,3384536844,134763980,992
512,9,3384404642,134761771,961
512,10,3382763130,134816665,996
512,Avg,3383787001,134784613,976.400

# Matrix size 1024
1024,1,27002172523,1085512296,20592
1024,2,26946893417,1080430270,19641
1024,3,26984088393,1080815914,19013
1024,4,26946211850,1080210214,19584
1024,5,26987637695,1082727874,19465
1024,6,26945717266,1081075763,20231
1024,7,26998164657,1084653877,19851
1024,8,26946902275,1080261388,19111
1024,9,26945941951,1080980407,19894
1024,10,27003416651,1082831151,20271
1024,Avg,26970714667,1081949915,19765.300

# Matrix size 2048
2048,1,215213563089,8653459700,153353
2048,2,215211387538,8653717665,154181
2048,3,215213942768,8655274052,157314
2048,4,215548848439,8672937960,160832
2048,5,215472821722,8640074077,154988
2048,6,215473371926,8637865081,155089
2048,7,215197161823,8645029729,147356
2048,8,215193939355,8642630493,147665
2048,9,215475085284,8639188782,153997
2048,10,215474358234,8652006661,153254
2048,Avg,215347448017,8649218420,153802.900
