Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)
2,1640372,79381,0
4,1641750,78361,0
8,1657325,82945,0
16,1775641,80023,0
32,2657703,81892,0
64,9400349,91251,1.000
128,62331658,296397,11.100
256,481406708,1779846,93.000
512,3817337450,20678129,764.100
1024,30430826910,172909721,7024.200
2048,243156335157,1857807089,77834.700
