Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2558062,80212,0,31.352
64,8596956,132535,1.000,15.415
128,55678177,2326155,11.300,41.778
256,428209548,16866368,106.300,39.387
512,3391225898,134415444,1005.200,39.635
831,14461402173,77567960,2792.200,5.363
1024,27025778955,1074276638,7923.400,39.749
2048,215898218276,8596464817,66154.000,39.816
