Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2571942,82440,0,32.045
64,8687912,85063,1.000,9.790
128,56575566,174669,9.900,3.087
256,434578081,15457606,92.400,35.568
512,3441755026,131338643,825.800,38.159
831,14665627944,9808309,2904.400,.668
1024,27415428716,1041221144,6582.500,37.979
2048,218938449751,8215477948,53103.700,37.523
