
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2841361,105857,0,37.255
32,2846044,87873,0,30.875
32,2813837,82589,0,29.351
32,2818477,82167,0,29.152
32,2825358,85812,0,30.372
32,2815452,98434,0,34.962
32,2833263,97609,0,34.451
32,2810344,77143,0,27.449
32,2835193,84255,0,29.717
32,2835437,86126,0,30.374
32,Avg,2827476,88786,0,31.395

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,10773064,100226,2,9.303
64,10778750,105924,1,9.827
64,10771656,98608,1,9.154
64,10780388,99547,1,9.234
64,10768725,112312,1,10.429
64,10769040,94619,1,8.786
64,10777340,105603,2,9.798
64,10783683,116919,2,10.842
64,10773694,98681,1,9.159
64,10788440,102571,1,9.507
64,Avg,10776478,103501,1.300,9.603

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,73389015,646801,27,8.813
128,73365727,605458,14,8.252
128,73347172,612277,14,8.347
128,73365446,606139,15,8.261
128,73348445,614592,13,8.379
128,73354728,643010,14,8.765
128,73358693,604082,13,8.234
128,73351365,612894,15,8.355
128,73369744,620826,13,8.461
128,73363868,607859,14,8.285
128,Avg,73361420,617393,15.200,8.415

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,569454011,5811071,159,10.204
256,569703593,4344440,140,7.625
256,569430240,5821412,138,10.223
256,569424196,5824864,144,10.229
256,569683076,4342760,132,7.623
256,569671783,4340007,131,7.618
256,569420352,5865097,134,10.300
256,569430729,5836789,132,10.250
256,569669447,4339873,133,7.618
256,569424313,5924818,130,10.404
256,Avg,569531174,5245113,137.300,9.209

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,4520890999,48646296,1175,10.760
512,4523686887,41269992,1291,9.123
512,4524143367,47996012,1410,10.608
512,4520850995,48830427,1214,10.801
512,4523556824,34581913,1266,7.644
512,4523565164,34601387,1268,7.649
512,4521213536,49247376,1220,10.892
512,4520975434,49293006,1316,10.903
512,4520855162,49074747,1190,10.855
512,4520861593,48859355,1131,10.807
512,Avg,4522059996,45240051,1248.100,10.004

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,19308069862,214379362,4809,11.103
831,19308708631,199229044,5275,10.318
831,19298767518,214420733,5022,11.110
831,19299269072,214053283,5303,11.091
831,19309363588,216105328,5310,11.191
831,19305525162,205644771,4312,10.652
831,19298330664,212120319,4063,10.991
831,19297812892,212114367,3857,10.991
831,19307560815,213377761,5305,11.051
831,19308396756,213856484,5542,11.075
831,Avg,19304180496,211530145,4879.800,10.957

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,36087556976,391671742,12101,10.853
1024,36084282770,387675962,11080,10.743
1024,36066568146,369234413,11211,10.237
1024,36084723907,372203266,11272,10.314
1024,36069014977,370960237,10980,10.284
1024,36084027090,387101453,11013,10.727
1024,36067295592,371613023,10866,10.303
1024,36083708740,388581183,10989,10.768
1024,36071067270,371037337,10615,10.286
1024,36068615214,372278401,11455,10.321
1024,Avg,36076686068,378235701,11158.200,10.483

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,288248451447,4545595553,143231,15.769
2048,288214204281,4541197862,138804,15.756
2048,288394267546,4847208767,135016,16.807
2048,288382236277,4839662028,131419,16.782
2048,288385918497,4864726859,132454,16.868
2048,288377555272,4846660284,130394,16.806
2048,288177979203,4476394825,132438,15.533
2048,288149693628,4535117085,130977,15.738
2048,288363743421,4828666897,126974,16.745
2048,288136306892,4538275965,129043,15.750
2048,Avg,288283035646,4686350612,133075.000,16.255
