
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2564851,92905,0,36.222
32,2555366,78727,0,30.808
32,2553068,74131,0,29.036
32,2546850,75252,0,29.547
32,2569185,74825,0,29.124
32,2544249,75157,0,29.539
32,2556230,73381,0,28.706
32,2563202,78749,0,30.722
32,2567458,81101,0,31.588
32,2559348,83122,0,32.477
32,Avg,2557980,78735,0,30.776

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8592521,243695,5,28.361
64,8589203,114742,1,13.358
64,8590529,116108,1,13.515
64,8597421,133413,1,15.517
64,8600627,143217,1,16.651
64,8579250,113479,1,13.227
64,8606810,140094,1,16.277
64,8599819,141668,1,16.473
64,8589630,112395,1,13.084
64,8596626,116195,1,13.516
64,Avg,8594243,137500,1.400,15.997

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,55746781,2413080,21,43.286
128,55711016,2158804,10,38.750
128,55701196,2156806,10,38.720
128,55700145,2493557,11,44.767
128,55697653,2495161,10,44.798
128,55699623,2159264,10,38.766
128,55703508,2158047,9,38.741
128,55706419,2512510,10,45.102
128,55695098,2159237,9,38.768
128,55697017,2510451,9,45.073
128,Avg,55705845,2321691,10.900,41.677

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,427531220,16964228,119,39.679
256,427768861,16972937,136,39.677
256,427583323,16940979,148,39.620
256,427538398,16933590,119,39.607
256,427776454,16945740,137,39.613
256,427606765,16936244,129,39.607
256,427598842,16948551,124,39.636
256,427744111,16912778,121,39.539
256,427779190,16941015,132,39.602
256,427853406,16959149,155,39.637
256,Avg,427678057,16945521,132.000,39.621

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3385264636,135088272,1227,39.904
512,3384363240,134999797,1181,39.889
512,3385597308,135125778,1315,39.911
512,3383137993,134862470,1066,39.863
512,3382776066,134811213,1031,39.852
512,3385012620,134807274,1089,39.824
512,3384809046,134789306,1034,39.821
512,3382769116,134822646,1021,39.855
512,3382779914,134818478,1016,39.854
512,3384626429,134770385,1008,39.818
512,Avg,3384113636,134889561,1098.800,39.859

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14418533087,647212118,5472,44.887
831,14426933860,648774184,5425,44.969
831,14418147762,647350270,5358,44.898
831,14417838062,647341503,5475,44.898
831,14427152943,648355169,5484,44.939
831,14427559810,648570208,5566,44.953
831,14427653064,648622862,5592,44.956
831,14417620572,647262999,5697,44.893
831,14417737534,647526384,5355,44.911
831,14426820104,648510571,5415,44.951
831,Avg,14422599679,647952626,5483.900,44.925

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,26957016551,1082026009,21184,40.138
1024,26953556180,1081185395,20533,40.112
1024,26991324482,1083290707,21339,40.134
1024,26961971508,1082635930,21306,40.154
1024,26992471399,1083717713,21233,40.148
1024,26992112679,1084088006,21009,40.163
1024,26953270992,1080990108,21448,40.106
1024,26990045777,1080329505,20956,40.026
1024,26961250012,1082122856,21239,40.136
1024,26990338282,1083814181,21133,40.155
1024,Avg,26974335786,1082420041,21138.000,40.127

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,215669279206,13891112035,251600,64.409
2048,215314844741,13705788360,261312,63.654
2048,215845012672,13731745225,290897,63.618
2048,215967193933,13898002397,324666,64.352
2048,215351318418,13956725303,320177,64.809
2048,215973514003,13938478028,325511,64.537
2048,215976774837,14030337176,326513,64.962
2048,215915078820,13902346148,309519,64.388
2048,215881196036,13851412119,296006,64.162
2048,215895601692,13818838157,300632,64.007
2048,Avg,215778981435,13872478494,300683.300,64.289
