Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2574798,81830,0,31.765
64,8595192,129290,1.000,15.040
128,55707884,2281049,11.000,40.946
256,427757773,16966867,164.900,39.664
512,3386829623,134810440,1173.100,39.803
831,14441045151,84440232,3297.400,5.846
1024,26991416362,1077217108,8576.000,39.909
2048,215515600994,8614171503,67470.700,39.969
