Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1641265,87291,0
2,2,1648451,85670,0
2,3,1637348,83304,0
2,4,1645448,74453,0
2,5,1650876,75240,0
2,6,1635932,76075,0
2,7,1644844,83601,0
2,8,1626987,72946,0
2,9,1631212,74411,0
2,10,1653109,92228,0
2,Avg,1641547,80521,0

# Matrix size 4
4,1,1641803,75172,0
4,2,1649397,78613,0
4,3,1645669,84041,0
4,4,1660847,80132,0
4,5,1634620,73492,0
4,6,1648470,77190,0
4,7,1646136,82708,0
4,8,1645942,72335,0
4,9,1656561,82187,0
4,10,1645243,82502,0
4,Avg,1647468,78837,0

# Matrix size 8
8,1,1648015,74251,0
8,2,1650169,77087,0
8,3,1663573,89452,0
8,4,1651536,73909,0
8,5,1666234,83187,0
8,6,1650174,73459,0
8,7,1651810,73876,0
8,8,1666914,81622,0
8,9,1666944,81660,0
8,10,1657628,81463,0
8,Avg,1657299,78996,0

# Matrix size 16
16,1,1772323,79939,0
16,2,1779078,90902,0
16,3,1759068,75617,0
16,4,1787449,77486,0
16,5,1775051,81867,0
16,6,1762364,72509,0
16,7,1754317,73852,0
16,8,1789407,75011,0
16,9,1752244,73428,0
16,10,1787735,75804,0
16,Avg,1771903,77641,0

# Matrix size 32
32,1,2565022,84640,0
32,2,2561136,75398,0
32,3,2560309,72297,0
32,4,2573069,81845,0
32,5,2563347,75529,0
32,6,2581404,83500,0
32,7,2578973,81683,0
32,8,2573678,75655,0
32,9,2577089,85266,0
32,10,2577832,79011,0
32,Avg,2571185,79482,0

# Matrix size 64
64,1,8673663,77946,1
64,2,8690208,94060,1
64,3,8674988,82095,1
64,4,8693758,89032,1
64,5,8684302,78390,1
64,6,8676678,82081,1
64,7,8678854,82770,1
64,8,8691674,88487,1
64,9,8696120,89090,1
64,10,8690278,89116,1
64,Avg,8685052,85306,1.000

# Matrix size 128
128,1,56584662,169403,9
128,2,56568355,179922,9
128,3,56591544,182538,10
128,4,56563458,188392,10
128,5,56576621,189381,11
128,6,56575281,175275,10
128,7,56595381,180327,9
128,8,56574298,181231,9
128,9,56581126,171168,9
128,10,56585821,179045,9
128,Avg,56579654,179668,9.500

# Matrix size 256
256,1,434678384,15589693,97
256,2,434551388,15734681,80
256,3,434395907,14747621,77
256,4,434387355,14850519,80
256,5,434495477,15677364,77
256,6,434391640,14742911,77
256,7,434501947,15540113,77
256,8,434389894,15848636,84
256,9,434502495,15516981,77
256,10,434497899,14663929,77
256,Avg,434479238,15291244,80.300

# Matrix size 512
512,1,3440409632,132101266,665
512,2,3441498908,131534705,650
512,3,3440422803,132376681,664
512,4,3440400766,131922256,654
512,5,3440404959,132139415,649
512,6,3441517379,131492922,652
512,7,3441526343,131279577,656
512,8,3441433130,131675019,649
512,9,3441487396,131606725,650
512,10,3440408465,131024856,658
512,Avg,3440950978,131715342,654.700

# Matrix size 1024
1024,1,27407879446,1041893563,5332
1024,2,27407887964,1041520489,5330
1024,3,27417567784,1037520961,5332
1024,4,27407883138,1041779590,5362
1024,5,27417502923,1039337740,5388
1024,6,27407889582,1042066035,5401
1024,7,27417705576,1039009113,5456
1024,8,27417202834,1038740284,5308
1024,9,27407894106,1042373897,5376
1024,10,27417346634,1039062882,5345
1024,Avg,27412675998,1040330455,5363.000

# Matrix size 2048
2048,1,218882470512,8142487836,46683
2048,2,218965395110,8105663069,46522
2048,3,218965033428,8111039586,46423
2048,4,218882465531,8147278889,46635
2048,5,218882465878,8119329737,46721
2048,6,218882452173,8139930776,46712
2048,7,218882444490,8158997564,46495
2048,8,218965081759,8126409690,46464
2048,9,218882445181,8177298210,46808
2048,10,218964844137,8123393758,46369
2048,Avg,218915509819,8135182911,46583.200
