Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)
2,1633333,81621,0
4,1641614,82431,0
8,1657340,81051,0
16,1763826,80053,0
32,2558737,80334,0
64,8631539,91783,1.000
128,56191608,561472,10.100
256,432263845,16046155,89.800
512,3423828046,132737992,770.400
1024,27292131675,1057791197,6505.900
2048,217957420858,8428419630,63952.700
