Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1639846,87010,0
2,2,1629783,73970,0
2,3,1648117,93255,0
2,4,1651011,97248,0
2,5,1633204,75676,0
2,6,1640168,75835,0
2,7,1641654,75213,0
2,8,1630090,74343,0
2,9,1651537,76455,0
2,10,1624965,71588,0
2,Avg,1639037,80059,0

# Matrix size 4
4,1,1650029,80282,0
4,2,1648276,96529,0
4,3,1664261,91994,0
4,4,1638347,77169,0
4,5,1629224,72502,0
4,6,1645389,71854,0
4,7,1657792,83875,0
4,8,1636223,74703,0
4,9,1653370,80108,0
4,10,1634084,74576,0
4,Avg,1645699,80359,0

# Matrix size 8
8,1,1652735,74120,0
8,2,1662528,87758,0
8,3,1653268,73908,0
8,4,1666156,86954,0
8,5,1665852,82078,0
8,6,1644872,90578,0
8,7,1644260,75177,0
8,8,1665871,81723,0
8,9,1669083,74094,0
8,10,1653987,74027,0
8,Avg,1657861,80041,0

# Matrix size 16
16,1,1755047,73940,0
16,2,1784550,91569,0
16,3,1777549,83155,0
16,4,1776238,83826,0
16,5,1776693,77991,0
16,6,1770363,78988,0
16,7,1763413,74258,0
16,8,1758725,73619,0
16,9,1760393,72608,0
16,10,1771635,74318,0
16,Avg,1769460,78427,0

# Matrix size 32
32,1,2604123,83854,0
32,2,2582166,75588,0
32,3,2582970,75623,0
32,4,2598114,85549,0
32,5,2584969,73954,0
32,6,2605547,76581,0
32,7,2603502,75732,0
32,8,2604806,74399,0
32,9,2604607,81374,0
32,10,2586425,71478,0
32,Avg,2595722,77413,0

# Matrix size 64
64,1,8926327,88341,1
64,2,8935214,89620,1
64,3,8903924,78352,1
64,4,8912958,82088,1
64,5,8932517,89086,1
64,6,8912193,80346,1
64,7,8926634,90638,1
64,8,8911425,82025,1
64,9,8947730,87003,1
64,10,8921754,79969,1
64,Avg,8923067,84746,1.000

# Matrix size 128
128,1,58485444,169723,13
128,2,58497150,166853,9
128,3,58486672,172745,9
128,4,58492228,170212,9
128,5,58481805,159933,9
128,6,58490206,172771,9
128,7,58484421,161498,9
128,8,58484758,163722,9
128,9,58494158,167987,9
128,10,58497910,170904,9
128,Avg,58489475,167634,9.400

# Matrix size 256
256,1,450740227,1029649,84
256,2,450585443,1062391,74
256,3,450698868,1026951,75
256,4,450600564,1061114,76
256,5,450700603,1014195,77
256,6,450594321,1067334,74
256,7,450693384,1007078,76
256,8,450707486,1024145,75
256,9,450607552,1052452,75
256,10,450583442,1059573,75
256,Avg,450651189,1040488,76.100

# Matrix size 512
512,1,3571593632,77442317,656
512,2,3571608668,77246782,653
512,3,3571541437,83082920,645
512,4,3570493860,83728507,657
512,5,3570487577,83731414,647
512,6,3571567958,83427161,652
512,7,3570483806,83571082,647
512,8,3571488753,83088555,641
512,9,3570490673,83686512,656
512,10,3570496549,77194524,688
512,Avg,3571025291,81619977,654.200

# Matrix size 1024
1024,1,28472208635,678903425,5524
1024,2,28462051059,679443644,5368
1024,3,28462051513,677501092,5365
1024,4,28471678378,677149011,5448
1024,5,28471982352,677077088,5589
1024,6,28462063260,679077405,5435
1024,7,28471824881,676658860,5475
1024,8,28471545254,676960037,5424
1024,9,28462064292,680019671,5373
1024,10,28471598786,676686137,5422
1024,Avg,28467906841,677947637,5442.300

# Matrix size 2048
2048,1,227406180609,5479151880,45891
2048,2,227324266698,5489143431,45711
2048,3,227324255537,5505639693,45600
2048,4,227413843693,5493588241,46609
2048,5,227327551649,5508145806,46155
2048,6,227411833071,5483704834,46340
2048,7,227411067455,5471120704,46148
2048,8,227324226269,5507198092,45946
2048,9,227324715848,5509640188,45913
2048,10,227408445812,5482767886,46195
2048,Avg,227367638664,5493010075,46050.800
