Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1657720,98002,0
2,2,1636892,77220,0
2,3,1644720,92473,0
2,4,1662728,94413,0
2,5,1642740,76133,0
2,6,1642348,87026,0
2,7,1646798,83591,0
2,8,1645010,78208,0
2,9,1647977,83588,0
2,10,1630922,82725,0
2,Avg,1645785,85337,0

# Matrix size 4
4,1,1654321,79046,0
4,2,1636500,82953,0
4,3,1658945,95071,0
4,4,1651502,74484,0
4,5,1651471,82362,0
4,6,1642912,75044,0
4,7,1636878,72180,0
4,8,1654688,84720,0
4,9,1638090,70771,0
4,10,1640121,74827,0
4,Avg,1646542,79145,0

# Matrix size 8
8,1,1683995,81629,0
8,2,1659069,81482,0
8,3,1665641,84397,0
8,4,1667809,89502,0
8,5,1648520,74149,0
8,6,1667740,81118,0
8,7,1645216,74202,0
8,8,1646249,74627,0
8,9,1665353,83995,0
8,10,1661502,78737,0
8,Avg,1661109,80383,0

# Matrix size 16
16,1,1785538,80841,0
16,2,1759491,70883,0
16,3,1755870,74206,0
16,4,1769205,84919,0
16,5,1753035,74120,0
16,6,1757361,71122,0
16,7,1772109,83179,0
16,8,1771301,78449,0
16,9,1759487,74466,0
16,10,1768586,84625,0
16,Avg,1765198,77681,0

# Matrix size 32
32,1,2582651,76454,0
32,2,2552512,73449,0
32,3,2548789,71343,0
32,4,2579070,82866,0
32,5,2549128,72628,0
32,6,2564603,83596,0
32,7,2554841,76056,0
32,8,2575658,85111,0
32,9,2574753,95443,0
32,10,2550531,72225,0
32,Avg,2563253,78917,0

# Matrix size 64
64,1,8588865,114143,1
64,2,8601287,150921,1
64,3,8593988,113985,1
64,4,8602062,146296,1
64,5,8603249,137432,1
64,6,8598435,117653,1
64,7,8608194,150567,1
64,8,8592342,115222,1
64,9,8595775,118543,1
64,10,8605383,150413,1
64,Avg,8598958,131517,1.000

# Matrix size 128
128,1,55714587,2494152,10
128,2,55732673,2162659,13
128,3,55738501,2169808,11
128,4,55728983,2163353,11
128,5,55706040,2492712,10
128,6,55724532,2161802,10
128,7,55705253,2522285,9
128,8,55716462,2469220,10
128,9,55700682,2456612,9
128,10,55733928,2158632,10
128,Avg,55720164,2325123,10.300

# Matrix size 256
256,1,427511622,16929168,131
256,2,427705326,16950317,115
256,3,427712071,16908846,118
256,4,427517084,16943800,113
256,5,427516833,16902845,111
256,6,427690677,16952918,114
256,7,427514514,16981205,109
256,8,427525266,16892424,113
256,9,427679454,16893560,110
256,10,427515644,16906987,111
256,Avg,427588849,16926207,114.500

# Matrix size 512
512,1,3386037233,135037766,1240
512,2,3382815949,134859192,1095
512,3,3382812796,134829974,973
512,4,3386446149,135203339,1238
512,5,3386710786,135226269,1223
512,6,3382784138,134820758,969
512,7,3384400111,134755471,960
512,8,3384437433,134761918,959
512,9,3384448766,134759700,972
512,10,3382773990,134829706,957
512,Avg,3384366735,134908409,1058.600

# Matrix size 1024
1024,1,26947815072,1079786103,19242
1024,2,26982224696,1079067160,18913
1024,3,26947813835,1079798071,19053
1024,4,26982175810,1078905242,19090
1024,5,26982575992,1078946483,19271
1024,6,26947812091,1080330096,20217
1024,7,26993552129,1080527899,21212
1024,8,26982786112,1079849857,19167
1024,9,26947824618,1079824604,19438
1024,10,26947811041,1079774768,19459
1024,Avg,26966239139,1079681028,19506.200

# Matrix size 2048
2048,1,215585430952,13785385818,234810
2048,2,215599541426,13736046054,235972
2048,3,215176994918,13536518080,237100
2048,4,215239395216,13658338147,244979
2048,5,215718208858,13646792325,243769
2048,6,215686297657,13782014842,244024
2048,7,215718984945,13793331635,249615
2048,8,215801122597,13911362130,258527
2048,9,215216794954,13657584886,255714
2048,10,215760267834,13797449629,250047
2048,Avg,215550303935,13730482354,245455.700
