Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1640741,88033,0
2,2,1628521,82270,0
2,3,1637258,88737,0
2,4,1651616,77669,0
2,5,1644772,82190,0
2,6,1627347,73728,0
2,7,1653971,73210,0
2,8,1643618,74206,0
2,9,1649613,80182,0
2,10,1636716,75304,0
2,Avg,1641417,79552,0

# Matrix size 4
4,1,1644956,80682,0
4,2,1639608,81811,0
4,3,1650847,81894,0
4,4,1635038,74043,0
4,5,1638004,75732,0
4,6,1635511,74695,0
4,7,1650033,82625,0
4,8,1635248,73520,0
4,9,1649208,84261,0
4,10,1637501,76799,0
4,Avg,1641595,78606,0

# Matrix size 8
8,1,1650028,72945,0
8,2,1665876,82698,0
8,3,1663012,80576,0
8,4,1651486,73726,0
8,5,1665264,84710,0
8,6,1649362,74149,0
8,7,1668715,85109,0
8,8,1657071,79795,0
8,9,1672239,81637,0
8,10,1658379,74445,0
8,Avg,1660143,78979,0

# Matrix size 16
16,1,1773895,90073,0
16,2,1773524,83582,0
16,3,1771542,87880,0
16,4,1762086,74340,0
16,5,1753679,70600,0
16,6,1751292,73796,0
16,7,1762630,74207,0
16,8,1771613,83156,0
16,9,1775927,74255,0
16,10,1769709,82060,0
16,Avg,1766589,79394,0

# Matrix size 32
32,1,2546289,75112,0
32,2,2569864,75644,0
32,3,2563780,79040,0
32,4,2549670,72507,0
32,5,2569771,79598,0
32,6,2562443,80198,0
32,7,2566752,80455,0
32,8,2563548,82397,0
32,9,2551158,72320,0
32,10,2561455,81342,0
32,Avg,2560473,77861,0

# Matrix size 64
64,1,8630100,80090,1
64,2,8629120,82752,1
64,3,8645522,85537,1
64,4,8627528,80634,1
64,5,8630830,81920,1
64,6,8634870,90851,1
64,7,8638337,87432,1
64,8,8636973,86413,1
64,9,8640857,86045,1
64,10,8625388,80101,1
64,Avg,8633952,84177,1.000

# Matrix size 128
128,1,56200790,578460,14
128,2,56210944,579791,12
128,3,56200344,576735,10
128,4,56174516,566441,10
128,5,56199800,579096,10
128,6,56181147,568895,11
128,7,56193713,579336,10
128,8,56193823,575361,10
128,9,56182355,563078,10
128,10,56194997,580326,11
128,Avg,56193242,574751,10.800

# Matrix size 256
256,1,432134211,16456564,98
256,2,432340961,15752002,83
256,3,432265785,16495011,83
256,4,432148019,16714792,80
256,5,432137001,15650270,80
256,6,432144272,16655534,80
256,7,432244706,16602676,80
256,8,432137532,16610782,81
256,9,432245419,16491665,81
256,10,432274167,15933770,84
256,Avg,432207207,16336306,83.000

# Matrix size 512
512,1,3422907589,132854227,761
512,2,3422904816,132600918,672
512,3,3422904766,133187236,705
512,4,3424175570,132532843,711
512,5,3424070449,132901829,698
512,6,3422903100,133237764,676
512,7,3424130553,132543744,703
512,8,3422905335,133255104,695
512,9,3422922006,133078719,677
512,10,3424062602,132962710,702
512,Avg,3423388678,132915509,700.000

# Matrix size 1024
1024,1,27292481598,1055374113,5875
1024,2,27281526992,1057651624,5711
1024,3,27281521928,1058320602,5788
1024,4,27291701280,1055510438,5729
1024,5,27291548618,1055419292,5643
1024,6,27281526864,1058294070,5803
1024,7,27292219217,1055232399,5869
1024,8,27281533931,1058316843,5886
1024,9,27291659917,1055015782,5732
1024,10,27281527635,1057396682,5713
1024,Avg,27286724798,1056653184,5774.900

# Matrix size 2048
2048,1,217880365108,8383794855,49495
2048,2,217968971138,8365831475,49595
2048,3,217968470140,8364538569,49360
2048,4,217880436432,8400784825,49570
2048,5,217969664379,8356162561,49673
2048,6,217969657118,8372291492,49693
2048,7,217880356987,8395552336,49782
2048,8,217880365824,8395413409,49556
2048,9,217968383787,8364626901,49300
2048,10,217967959513,8362536240,49177
2048,Avg,217933463042,8376153266,49520.100
