Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1639436,80709,0
2,2,1647293,78777,0
2,3,1629250,85692,0
2,4,1655916,84768,0
2,5,1635500,73492,0
2,6,1640158,74328,0
2,7,1657136,84322,0
2,8,1630885,72863,0
2,9,1641776,78258,0
2,10,1657508,90260,0
2,Avg,1643485,80346,0

# Matrix size 4
4,1,1632022,74092,0
4,2,1647518,94617,0
4,3,1670419,93746,0
4,4,1627625,74178,0
4,5,1638457,74897,0
4,6,1650802,80720,0
4,7,1636314,71898,0
4,8,1633798,73965,0
4,9,1635726,81028,0
4,10,1652564,81729,0
4,Avg,1642524,80087,0

# Matrix size 8
8,1,1670612,75954,0
8,2,1651147,77386,0
8,3,1669501,82999,0
8,4,1664926,79098,0
8,5,1668274,79523,0
8,6,1653547,74847,0
8,7,1674787,74790,0
8,8,1651842,73745,0
8,9,1666431,85832,0
8,10,1649634,74330,0
8,Avg,1662070,77850,0

# Matrix size 16
16,1,1777263,79970,0
16,2,1773306,80676,0
16,3,1759885,75373,0
16,4,1768664,79550,0
16,5,1758788,72725,0
16,6,1772032,81677,0
16,7,1760768,71234,0
16,8,1763753,73290,0
16,9,1759313,70036,0
16,10,1763950,74466,0
16,Avg,1765772,75899,0

# Matrix size 32
32,1,2557414,75611,0
32,2,2575436,86647,0
32,3,2583037,83121,0
32,4,2574379,81260,0
32,5,2563196,72928,0
32,6,2560157,74531,0
32,7,2572706,74310,0
32,8,2572279,83303,0
32,9,2565754,73304,0
32,10,2578411,76021,0
32,Avg,2570276,78103,0

# Matrix size 64
64,1,8711182,78225,1
64,2,8713378,81172,1
64,3,8730292,86446,1
64,4,8727642,79896,1
64,5,8731550,80157,1
64,6,8730239,87167,1
64,7,8721584,82094,1
64,8,8731237,84860,1
64,9,8729731,84344,1
64,10,8711968,78227,1
64,Avg,8723880,82258,1.000

# Matrix size 128
128,1,56900999,156036,13
128,2,56895701,157956,9
128,3,56894648,153322,9
128,4,56902624,141561,9
128,5,56898179,141633,9
128,6,56909908,141834,9
128,7,56900750,153004,8
128,8,56903359,143516,9
128,9,56899168,139734,9
128,10,56900708,153803,9
128,Avg,56900604,148239,9.300

# Matrix size 256
256,1,437902760,7086156,87
256,2,437903056,7086539,78
256,3,438047853,6928024,81
256,4,438075064,7016558,84
256,5,438062186,6523513,93
256,6,437893325,6504155,75
256,7,438015484,6975534,77
256,8,438003030,6980294,77
256,9,437922458,6980838,114
256,10,437896783,7081966,77
256,Avg,437972199,6916357,84.300

# Matrix size 512
512,1,3470190023,130990595,655
512,2,3470084548,129466703,644
512,3,3469021360,128118325,648
512,4,3469015070,131680696,658
512,5,3470117685,130811472,647
512,6,3470023906,129059041,637
512,7,3469016170,132261782,666
512,8,3469012326,132261229,657
512,9,3470023796,127642165,639
512,10,3470080604,130979499,645
512,Avg,3469658548,130327150,649.600

# Matrix size 1024
1024,1,27659763645,993503129,5231
1024,2,27650374619,1003486360,5241
1024,3,27650374638,1000605841,5220
1024,4,27650396898,1000076984,5184
1024,5,27659550816,993377564,5223
1024,6,27659521236,993856450,5221
1024,7,27650378595,1000655569,5204
1024,8,27660189182,993464107,5346
1024,9,27659646788,993411477,5234
1024,10,27650396839,1000426763,5212
1024,Avg,27655059325,997286424,5231.600

# Matrix size 2048
2048,1,220831163385,8035467306,43368
2048,2,220908397025,8026570868,43395
2048,3,220831156495,8037239998,43246
2048,4,220831159374,8018606189,43046
2048,5,220908387076,8067229719,43304
2048,6,220907778054,7997134538,43194
2048,7,220831134692,8041494699,43101
2048,8,220907760903,8027140398,43111
2048,9,220831155077,8016670825,43234
2048,10,220831158133,8027774232,43322
2048,Avg,220861925021,8029532877,43232.100
