Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1633744,88187,0
2,2,1650608,95193,0
2,3,1625839,79944,0
2,4,1640294,81924,0
2,5,1627456,74233,0
2,6,1651942,83707,0
2,7,1637543,80721,0
2,8,1635067,74197,0
2,9,1651727,82077,0
2,10,1652024,84963,0
2,Avg,1640624,82514,0

# Matrix size 4
4,1,1662813,74081,0
4,2,1652681,89128,0
4,3,1644098,81306,0
4,4,1651089,73570,0
4,5,1641072,73958,0
4,6,1647521,75202,0
4,7,1636871,71539,0
4,8,1653700,76453,0
4,9,1646195,84745,0
4,10,1636433,79060,0
4,Avg,1647247,77904,0

# Matrix size 8
8,1,1661093,82176,0
8,2,1666798,76162,0
8,3,1655641,71918,0
8,4,1644572,74504,0
8,5,1648241,74737,0
8,6,1649756,74060,0
8,7,1665208,82471,0
8,8,1655267,75389,0
8,9,1667020,78800,0
8,10,1646998,72585,0
8,Avg,1656059,76280,0

# Matrix size 16
16,1,1762941,75232,0
16,2,1755667,72028,0
16,3,1771050,81008,0
16,4,1752515,72175,0
16,5,1774652,80583,0
16,6,1774052,83142,0
16,7,1759075,74138,0
16,8,1753424,73063,0
16,9,1776023,80267,0
16,10,1770243,84780,0
16,Avg,1764964,77641,0

# Matrix size 32
32,1,2571787,84948,0
32,2,2562656,74713,0
32,3,2576353,83605,0
32,4,2584032,78460,0
32,5,2577043,74456,0
32,6,2578639,83126,0
32,7,2584877,83590,0
32,8,2560916,74390,0
32,9,2574757,80351,0
32,10,2563935,76957,0
32,Avg,2573499,79459,0

# Matrix size 64
64,1,8739348,91339,1
64,2,8719041,83722,1
64,3,8737151,90645,1
64,4,8735565,83899,1
64,5,8729347,83833,1
64,6,8734905,91764,1
64,7,8730908,83339,1
64,8,8736465,91325,1
64,9,8751569,91068,1
64,10,8731245,83416,1
64,Avg,8734554,87435,1.000

# Matrix size 128
128,1,56757787,176800,9
128,2,56771139,176838,11
128,3,56763326,169572,10
128,4,56748532,171349,9
128,5,56779920,168095,9
128,6,56760113,174301,9
128,7,56769468,175677,9
128,8,56772877,167886,9
128,9,56747572,181032,9
128,10,56747632,178843,9
128,Avg,56761836,174039,9.300

# Matrix size 256
256,1,436100732,15411569,94
256,2,436031953,14815143,85
256,3,435927230,15397832,78
256,4,435840768,15526654,80
256,5,435837260,15322895,77
256,6,435832174,15520135,82
256,7,435829228,14429917,79
256,8,435967575,15367998,80
256,9,435838030,14444768,77
256,10,435947045,15178364,78
256,Avg,435915199,15141527,81.000

# Matrix size 512
512,1,3453169722,131780049,677
512,2,3451932928,132169933,718
512,3,3453155717,131027026,688
512,4,3451939802,128131037,636
512,5,3453242683,131938702,702
512,6,3451934458,132329758,655
512,7,3451929657,132550622,700
512,8,3451934552,132110924,653
512,9,3453154211,131555395,683
512,10,3452956535,131517952,643
512,Avg,3452535026,131511139,675.500

# Matrix size 1024
1024,1,27521008050,1019022893,5269
1024,2,27520756078,1019552650,5274
1024,3,27511522716,1022921050,5255
1024,4,27511519515,1023173622,5258
1024,5,27520738066,1018841610,5251
1024,6,27521046124,1021153361,5327
1024,7,27511541452,1022824833,5315
1024,8,27511526065,1023904488,5302
1024,9,27520959098,1019226637,5307
1024,10,27511525616,1023396043,5266
1024,Avg,27516214278,1021401718,5282.400

# Matrix size 2048
2048,1,219759516120,7953518897,47935
2048,2,219745869679,7919755395,46178
2048,3,219666031084,8005443809,46961
2048,4,219746896381,7959610155,46162
2048,5,219665040045,7981248541,46346
2048,6,219665896766,7982591043,46848
2048,7,219665618740,8016928364,46992
2048,8,219748982147,7931326028,46650
2048,9,219748397703,7960909393,46529
2048,10,219747527986,7969208393,46237
2048,Avg,219715977665,7968054001,46683.800
