Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2592270,81682,0,31.506
64,8917892,85085,1.000,9.540
128,58484387,169292,10.000,2.894
256,450638175,1046417,83.800,2.321
512,3571192018,80843642,680.100,22.637
831,15228374436,26607491,2714.500,1.746
1024,28468250267,676658594,5733.500,23.768
2048,227360132856,5575767643,48814.300,24.523
