Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2588949,82037,0,31.666
64,8716039,84784,1.000,9.726
128,56899431,152627,9.900,2.681
256,437969676,6861572,83.200,15.666
512,3469572531,131134682,668.000,37.795
831,14793672874,12057044,2439.100,.814
1024,27655241397,1002550781,5466.000,36.251
2048,220875831450,8152791438,49596.200,36.910
