
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
32,2698894,90363,0,33.481
32,2582339,87254,0,33.788
32,2565320,83915,0,32.711
32,2552864,73374,0,28.741
32,2549289,74861,0,29.365
32,2559837,76930,0,30.052
32,2561667,82783,0,32.316
32,2546578,75805,0,29.767
32,2565031,92964,0,36.242
32,2566168,80053,0,31.195
32,Avg,2574798,81830,0,31.765

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
64,8595594,127039,1,14.779
64,8601289,152699,1,17.753
64,8610469,138556,1,16.091
64,8595655,117942,1,13.721
64,8587401,121045,1,14.095
64,8585202,116486,1,13.568
64,8597365,139076,1,16.176
64,8589947,116330,1,13.542
64,8600940,150346,1,17.480
64,8588066,113386,1,13.202
64,Avg,8595192,129290,1.000,15.040

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
128,55712344,2160092,11,38.772
128,55744541,2164806,14,38.834
128,55699291,2484508,12,44.605
128,55700694,2452399,12,44.028
128,55716461,2163908,11,38.837
128,55709223,2155612,10,38.693
128,55696319,2434971,10,43.718
128,55698259,2155268,10,38.695
128,55704609,2156163,10,38.707
128,55697101,2482766,10,44.576
128,Avg,55707884,2281049,11.000,40.946

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
256,427481530,16910260,142,39.557
256,427689644,16960739,175,39.656
256,427522976,16948494,175,39.643
256,427462603,16952799,174,39.659
256,428037149,16998016,172,39.711
256,428180283,16988564,164,39.676
256,428007239,16991991,150,39.700
256,428025293,16972088,161,39.652
256,427643675,16965516,151,39.672
256,427527344,16980211,185,39.717
256,Avg,427757773,16966867,164.900,39.664

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
512,3388704661,135014315,1186,39.842
512,3385037506,134722070,1162,39.799
512,3387833976,134764597,1160,39.778
512,3385011750,134713172,1158,39.796
512,3384888387,134706853,1163,39.796
512,3387894736,134792870,1189,39.786
512,3384991460,134701023,1170,39.793
512,3388226603,134949911,1230,39.829
512,3387708348,134947059,1148,39.834
512,3387998805,134792533,1165,39.785
512,Avg,3386829623,134810440,1173.100,39.803

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
831,14443793408,85150070,3089,5.895
831,14436836891,83700998,3102,5.797
831,14438628675,80912802,3264,5.603
831,14443263187,85300878,3126,5.905
831,14437199178,84231975,3160,5.834
831,14438820681,84492778,3372,5.851
831,14444606280,84950092,3222,5.881
831,14447831255,85781724,3886,5.937
831,14439002639,84608622,3345,5.859
831,14440469319,85272381,3408,5.905
831,Avg,14441045151,84440232,3297.400,5.846

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
1024,26977773598,1076564801,8593,39.905
1024,26998861179,1076910395,8611,39.887
1024,26997471843,1076717918,8430,39.882
1024,26977367593,1076440666,8282,39.901
1024,26999273387,1078158311,8666,39.932
1024,26998203409,1076784895,8473,39.883
1024,26983938689,1077372591,8793,39.926
1024,26997124933,1077681915,8290,39.918
1024,27001448240,1078421811,8925,39.939
1024,26982700752,1077117781,8697,39.918
1024,Avg,26991416362,1077217108,8576.000,39.909

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),MPKI
2048,215451136427,8608611165,64986,39.956
2048,215446861919,8608678264,64587,39.957
2048,215574410893,8608527924,66410,39.932
2048,215464657390,8611357511,65622,39.966
2048,215603642453,8617801464,66665,39.970
2048,215455157859,8610419133,67779,39.963
2048,215474197111,8613294065,69894,39.973
2048,215598215922,8623907767,67589,39.999
2048,215609169698,8624947126,69143,40.002
2048,215478560271,8614170611,72032,39.976
2048,Avg,215515600994,8614171503,67470.700,39.969
