Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1656437,97322,0
2,2,1652829,88600,0
2,3,1637090,77144,0
2,4,1635553,72265,0
2,5,1633644,76348,0
2,6,1654990,81740,0
2,7,1650178,78703,0
2,8,1668614,76768,0
2,9,1625481,73839,0
2,10,1651228,84848,0
2,Avg,1646604,80757,0

# Matrix size 4
4,1,1653170,82207,0
4,2,1644374,77006,0
4,3,1646549,92125,0
4,4,1641077,72170,0
4,5,1653514,77595,0
4,6,1651239,81390,0
4,7,1638074,75750,0
4,8,1634783,73281,0
4,9,1654413,82666,0
4,10,1646623,82104,0
4,Avg,1646381,79629,0

# Matrix size 8
8,1,1647206,74356,0
8,2,1685188,91744,0
8,3,1656403,73598,0
8,4,1672221,83088,0
8,5,1670008,92428,0
8,6,1651094,78407,0
8,7,1675313,83686,0
8,8,1660299,75849,0
8,9,1656372,72403,0
8,10,1663252,82913,0
8,Avg,1663735,80847,0

# Matrix size 16
16,1,1813372,76324,0
16,2,1766590,75214,0
16,3,1784258,75728,0
16,4,1777383,75345,0
16,5,1784422,81576,0
16,6,1782795,73597,0
16,7,1758523,73301,0
16,8,1755306,72191,0
16,9,1771776,81401,0
16,10,1756144,70781,0
16,Avg,1775056,75545,0

# Matrix size 32
32,1,2551647,75964,0
32,2,2569808,90412,0
32,3,2553617,73200,0
32,4,2572632,83255,0
32,5,2566284,83545,0
32,6,2549863,73133,0
32,7,2566250,82461,0
32,8,2571617,75037,0
32,9,2564158,82405,0
32,10,2550923,75641,0
32,Avg,2561679,79505,0

# Matrix size 64
64,1,8586339,115144,1
64,2,8605827,157183,1
64,3,8582863,113414,1
64,4,8596771,119011,1
64,5,8581549,114222,1
64,6,8601209,150302,1
64,7,8600712,148549,1
64,8,8615063,139947,1
64,9,8584370,117442,1
64,10,8592627,116133,1
64,Avg,8594733,129134,1.000

# Matrix size 128
128,1,55859616,2113686,14
128,2,55866045,2113361,12
128,3,55840707,2407189,10
128,4,55838665,2371045,10
128,5,55844221,2411522,10
128,6,55833089,2416967,9
128,7,55854306,2113657,10
128,8,55833814,2439310,10
128,9,55854341,2112458,10
128,10,55846124,2112866,9
128,Avg,55847092,2261206,10.400

# Matrix size 256
256,1,429665233,16350023,96
256,2,429594827,16362563,83
256,3,429387963,16492141,83
256,4,429520330,16384829,80
256,5,429388810,16407689,81
256,6,429523486,16381918,83
256,7,429383355,16352478,80
256,8,429511722,16377830,83
256,9,429388259,16399981,79
256,10,429390109,16357999,78
256,Avg,429475409,16386745,82.600

# Matrix size 512
512,1,3400923913,133853449,837
512,2,3402329818,133785961,822
512,3,3400927736,133827146,814
512,4,3402372396,133800746,825
512,5,3400921626,133843695,824
512,6,3402368410,133801717,824
512,7,3400924258,133780664,820
512,8,3402321644,133789517,817
512,9,3400920122,133841408,810
512,10,3400923682,133942045,815
512,Avg,3401493360,133826634,820.800

# Matrix size 1024
1024,1,27105676195,1069109774,7042
1024,2,27118111657,1067728145,7028
1024,3,27118155990,1067799417,7042
1024,4,27105645107,1069284351,7311
1024,5,27118146790,1067820853,7020
1024,6,27118180628,1067767084,7045
1024,7,27118069378,1067709703,7040
1024,8,27105664079,1069128259,7072
1024,9,27105647423,1069042041,7047
1024,10,27105648162,1069045058,7040
1024,Avg,27111894540,1068443468,7068.700

# Matrix size 2048
2048,1,216473401810,8558465623,56432
2048,2,216473407391,8557161784,56682
2048,3,216575547289,8539879456,56738
2048,4,216575756080,8539998867,56741
2048,5,216575292637,8563924915,56666
2048,6,216473428143,8556919577,56352
2048,7,216577388571,8540351506,56876
2048,8,216575742207,8543825000,56861
2048,9,216473433872,8556430097,56705
2048,10,216473413057,8555249990,56722
2048,Avg,216524681105,8551220681,56677.500
