Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1654913,96569,0
2,2,1636796,84787,0
2,3,1626176,76727,0
2,4,1634491,72834,0
2,5,1635340,73498,0
2,6,1660267,81655,0
2,7,1632365,71131,0
2,8,1649153,75481,0
2,9,1631372,74233,0
2,10,1648704,80229,0
2,Avg,1640957,78714,0

# Matrix size 4
4,1,1647667,87770,0
4,2,1650172,97144,0
4,3,1631344,73843,0
4,4,1632904,74825,0
4,5,1629704,74012,0
4,6,1644867,81573,0
4,7,1636906,74585,0
4,8,1645134,84216,0
4,9,1653100,84615,0
4,10,1649701,87769,0
4,Avg,1642149,82035,0

# Matrix size 8
8,1,1646754,74701,0
8,2,1670055,84591,0
8,3,1648951,70066,0
8,4,1653428,75681,0
8,5,1673684,77828,0
8,6,1667274,97875,0
8,7,1656864,75437,0
8,8,1668179,85021,0
8,9,1651074,73967,0
8,10,1676118,81264,0
8,Avg,1661238,79643,0

# Matrix size 16
16,1,1791262,75087,0
16,2,1804746,85362,0
16,3,1792535,75520,0
16,4,1794778,74444,0
16,5,1805017,82238,0
16,6,1808834,77020,0
16,7,1783788,74195,0
16,8,1804891,77217,0
16,9,1807539,80469,0
16,10,1788982,72892,0
16,Avg,1798237,77444,0

# Matrix size 32
32,1,2820099,75759,0
32,2,2816373,76282,0
32,3,2835663,84100,0
32,4,2837055,77674,0
32,5,2821762,75184,0
32,6,2839113,78504,0
32,7,2832752,73473,0
32,8,2836518,87399,0
32,9,2827458,76477,0
32,10,2836998,82883,0
32,Avg,2830379,78773,0

# Matrix size 64
64,1,10782717,100525,1
64,2,10792508,120193,2
64,3,10774316,98175,1
64,4,10788354,101896,1
64,5,10772087,97290,1
64,6,10803199,102559,1
64,7,10787744,100113,1
64,8,10787552,108122,1
64,9,10799431,115369,2
64,10,10783717,110752,2
64,Avg,10787162,105499,1.300

# Matrix size 128
128,1,73370618,628882,17
128,2,73373125,601574,15
128,3,73351165,614582,12
128,4,73352166,612651,13
128,5,73348826,610049,12
128,6,73382738,604936,13
128,7,73390760,605613,12
128,8,73351579,620450,12
128,9,73379386,604933,12
128,10,73390079,606506,12
128,Avg,73369044,611017,13.000

# Matrix size 256
256,1,569442267,5732088,128
256,2,569448397,5715917,122
256,3,569807887,5835935,145
256,4,569543454,5746355,144
256,5,569517143,5786894,122
256,6,569845986,5903493,122
256,7,569485071,5783969,137
256,8,569425308,5662602,120
256,9,569631806,4333218,115
256,10,569615132,4333626,112
256,Avg,569576245,5483409,126.700

# Matrix size 512
512,1,4520935773,48283483,1117
512,2,4524895270,45447257,1145
512,3,4524073305,48718261,1044
512,4,4521049851,47982481,1005
512,5,4524154460,47266529,1139
512,6,4521570986,48440045,1257
512,7,4525231034,50064108,1415
512,8,4523303257,47908046,1080
512,9,4523553255,49056249,1063
512,10,4521217459,49203837,1004
512,Avg,4522998465,48237029,1126.900

# Matrix size 1024
1024,1,36077464795,384608145,11065
1024,2,36089137532,392419633,10970
1024,3,36067479513,382111230,10909
1024,4,36067057111,384775797,10582
1024,5,36071381433,384102214,10580
1024,6,36090002769,394053922,11002
1024,7,36089869591,391469770,10979
1024,8,36092433389,392082780,11188
1024,9,36067530489,382415375,10776
1024,10,36069197485,386910125,10864
1024,Avg,36078155410,387494899,10891.500

# Matrix size 2048
2048,1,288457345114,4833319092,132447
2048,2,288398801877,4791363540,128499
2048,3,288163209716,4804169823,131798
2048,4,288410300445,4785207298,128591
2048,5,288170417145,4809996629,129978
2048,6,288407348989,4634621235,131977
2048,7,288169220557,4808887745,130733
2048,8,288159395261,4817901807,143152
2048,9,288594117772,4862621471,155858
2048,10,288506537203,4632479644,141432
2048,Avg,288343669407,4778056828,135446.500
