Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2457045,83410,0,33.940
64,7784130,136901,.900,17.585
128,49299948,2325705,10.700,47.174
256,376876248,16959808,145.200,45.000
512,2980070161,134897885,1201.600,45.266
831,12692974509,647285397,4419.900,50.995
1024,23734592659,1080795386,16880.400,45.536
2048,189655410750,13919773951,202572.800,73.394
