Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2827476,88786,0,31.395
64,10776478,103501,1.300,9.603
128,73361420,617393,15.200,8.415
256,569531174,5245113,137.300,9.209
512,4522059996,45240051,1248.100,10.004
831,19304180496,211530145,4879.800,10.957
1024,36076686068,378235701,11158.200,10.483
2048,288283035646,4686350612,133075.000,16.255
