Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)
2,1638162,81222,0
4,1636010,77266,0
8,1653829,80706,0
16,1763697,77382,0
32,2554077,76828,0
64,8593275,126803,1.000
128,55703956,2322195,10.300
256,427591010,16923582,116.200
512,3383820439,134787499,974.300
1024,26961738289,1080417640,22739.600
2048,215397154899,13686650129,241143.300
