Matrix size,Run,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms)

# Matrix size 2
2,1,1645864,88428,0
2,2,1649479,92169,0
2,3,1633042,79162,0
2,4,1652751,77905,0
2,5,1637668,77253,0
2,6,1629723,70456,0
2,7,1640198,71645,0
2,8,1646845,80071,0
2,9,1631553,74313,0
2,10,1644470,78755,0
2,Avg,1641159,79015,0

# Matrix size 4
4,1,1635717,75960,0
4,2,1653612,91038,0
4,3,1639518,84231,0
4,4,1654576,89273,0
4,5,1630765,73975,0
4,6,1645709,81118,0
4,7,1644450,81718,0
4,8,1630787,73570,0
4,9,1646738,81826,0
4,10,1653099,82529,0
4,Avg,1643497,81523,0

# Matrix size 8
8,1,1647159,71775,0
8,2,1673844,78593,0
8,3,1663844,84910,0
8,4,1660204,73697,0
8,5,1666322,103285,0
8,6,1662612,83370,0
8,7,1643043,73768,0
8,8,1656598,77262,0
8,9,1677150,83869,0
8,10,1654903,74522,0
8,Avg,1660567,80505,0

# Matrix size 16
16,1,1775812,79908,0
16,2,1761182,85172,0
16,3,1764472,74414,0
16,4,1774964,82624,0
16,5,1759343,73649,0
16,6,1772474,79920,0
16,7,1773246,81374,0
16,8,1761974,71964,0
16,9,1769435,81502,0
16,10,1755286,73450,0
16,Avg,1766818,78397,0

# Matrix size 32
32,1,2548941,74517,0
32,2,2562672,84174,0
32,3,2567666,75540,0
32,4,2551649,71349,0
32,5,2568553,80559,0
32,6,2561978,81621,0
32,7,2552848,73336,0
32,8,2555961,75589,0
32,9,2567364,72291,0
32,10,2556294,76688,0
32,Avg,2559392,76566,0

# Matrix size 64
64,1,8601980,146427,1
64,2,8609207,145426,1
64,3,8601287,133399,1
64,4,8609804,143846,1
64,5,8592106,116069,1
64,6,8603804,142316,1
64,7,8593449,116171,1
64,8,8582108,115224,1
64,9,8602927,137962,1
64,10,8622478,144081,1
64,Avg,8601915,134092,1.000

# Matrix size 128
128,1,55718128,2160140,11
128,2,55724135,2161803,14
128,3,55729399,2158893,11
128,4,55706120,2523947,9
128,5,55698146,2509554,10
128,6,55732883,2182452,10
128,7,55707254,2488062,11
128,8,55729122,2168560,10
128,9,55704078,2472450,11
128,10,55697988,2500014,10
128,Avg,55714725,2332587,10.700

# Matrix size 256
256,1,427952187,16982749,138
256,2,427750041,16880456,118
256,3,427515804,16920646,114
256,4,427676267,16936830,110
256,5,427698869,16921273,113
256,6,427516679,16911812,117
256,7,427779916,16965692,138
256,8,427519647,16890573,116
256,9,427724113,16892279,114
256,10,427684400,16890273,112
256,Avg,427681792,16919258,119.000

# Matrix size 512
512,1,3382253563,134826671,1001
512,2,3384132958,134949353,1015
512,3,3382389149,134833480,1015
512,4,3383879169,134752649,962
512,5,3382255160,134813695,1034
512,6,3382597691,134872105,1119
512,7,3386004432,135182420,1351
512,8,3383183539,134922468,1215
512,9,3384370467,134976391,1190
512,10,3383040569,134909913,1291
512,Avg,3383410669,134903914,1119.300

# Matrix size 1024
1024,1,26976542087,1079390452,9909
1024,2,26957192657,1078067186,14633
1024,3,26970979313,1076991461,8195
1024,4,26970854261,1076970870,8166
1024,5,26956234426,1077520217,8269
1024,6,26956235181,1077441746,7856
1024,7,26956314820,1077529328,8127
1024,8,26956236199,1077480345,7833
1024,9,26956233392,1077461641,8106
1024,10,26970931743,1077093158,8179
1024,Avg,26962775407,1077594640,8927.300

# Matrix size 2048
2048,1,215405535767,8613991964,70477
2048,2,215292588242,8621312506,79572
2048,3,215435677024,8630842762,75444
2048,4,215278569472,8617661204,65155
2048,5,215425154463,8624591558,73295
2048,6,215283411467,8617978823,65875
2048,7,215278260702,8617408567,62960
2048,8,215451899883,8624980944,76937
2048,9,215292335110,8620566757,74215
2048,10,215534736060,8645395649,92894
2048,Avg,215367816819,8623473073,73682.400
