Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg MPKI
32,2552870,77978,0,30.541
64,8586833,130402,1.000,15.184
128,55845527,2294790,10.600,41.091
256,429531496,16446878,88.500,38.289
512,3401808668,133872244,828.100,39.352
831,14503771819,61403230,2626.200,4.233
1024,27119152535,1070015133,7660.900,39.455
2048,216534440161,8560832729,62461.500,39.535
