Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2205793,79462,0,7940298,10.005
64,5740594,160760,.200,15359616,10.462
128,32759844,2217287,8.200,71345362,31.077
256,243622114,17067912,114.100,504567380,33.826
512,1909560738,135278028,814.700,3912573374,34.574
831,8117315808,647303196,4058.300,16592691830,39.010
1024,15166949167,1083908670,13900.500,31000233607,34.964
2048,120939529774,13858285820,158034.500,246963463231,56.113
