Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2078126,81435,0,7713632,10.553
64,4714106,146285,.100,13526777,10.813
128,24455340,2212045,5.700,56384797,39.230
256,176777662,17051922,80.900,383591739,44.452
512,1373584406,135299441,645.000,2941527566,45.996
831,5845951202,647040328,2956.600,12480081690,51.845
1024,10867941840,1083365562,10250.000,23193410760,46.709
2048,86524123178,13998124825,126231.500,184444445433,75.893
