
# Matrix size 32
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
32,2214766,89748,0,7971737,11.258
32,2208516,79376,0,7941518,9.995
32,2193621,75793,0,7897775,9.596
32,2209069,77153,0,7961362,9.690
32,2210620,83757,0,7952699,10.531
32,2217319,75517,0,7982697,9.460
32,2203081,75007,0,7940005,9.446
32,2193803,72363,0,7896595,9.163
32,2194736,74103,0,7899572,9.380
32,2212399,91807,0,7959024,11.534
32,Avg,2205793,79462,0,7940298,10.005

# Matrix size 64
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
64,5746356,202504,1,15375993,13.170
64,5731408,134966,0,15328494,8.804
64,5733243,132745,0,15334917,8.656
64,5730228,135150,0,15325578,8.818
64,5732344,135189,0,15330897,8.818
64,5747804,175675,1,15382508,11.420
64,5732988,134566,0,15334468,8.775
64,5745429,182088,0,15374372,11.843
64,5752872,187616,0,15402475,12.180
64,5753277,187105,0,15406458,12.144
64,Avg,5740594,160760,.200,15359616,10.462

# Matrix size 128
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
128,32771238,2229811,11,71395147,31.231
128,32755820,2216272,8,71333473,31.069
128,32762088,2209425,8,71360069,30.961
128,32760659,2221689,8,71339942,31.142
128,32761088,2222875,8,71343623,31.157
128,32758107,2214421,8,71329984,31.044
128,32761107,2221438,7,71343882,31.137
128,32753832,2211597,8,71324966,31.007
128,32757919,2213885,8,71346773,31.029
128,32756582,2211466,8,71335764,31.000
128,Avg,32759844,2217287,8.200,71345362,31.077

# Matrix size 256
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
256,243489798,17055992,94,504023067,33.839
256,243483622,17041148,112,503996691,33.812
256,243791704,17076184,103,505252893,33.797
256,243797146,17113296,130,505263054,33.870
256,243486812,17051861,110,504010573,33.832
256,243749125,17065254,114,505073866,33.787
256,243789711,17090547,130,505233082,33.827
256,243553868,17076667,140,504285746,33.863
256,243492362,17055103,111,504037354,33.836
256,243586995,17053077,97,504497476,33.802
256,Avg,243622114,17067912,114.100,504567380,33.826

# Matrix size 512
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
512,1908488723,135281602,822,3908317571,34.613
512,1910785820,135524335,872,3917463806,34.594
512,1910543197,135227045,816,3916463260,34.527
512,1910580099,135221881,798,3916621848,34.525
512,1908658630,135291072,825,3908996039,34.610
512,1908468519,135273376,778,3908230168,34.612
512,1910591632,135231516,828,3916665071,34.527
512,1908461672,135260458,805,3908178829,34.609
512,1908479127,135252774,806,3908268881,34.606
512,1910549965,135216224,797,3916528275,34.524
512,Avg,1909560738,135278028,814.700,3912573374,34.574

# Matrix size 831
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
831,8122503309,647358793,4079,16613243025,38.966
831,8112192671,646705616,4142,16572377900,39.023
831,8112182376,646664146,4032,16572374900,39.020
831,8112188208,648103818,4026,16572398589,39.107
831,8121748214,647781090,3887,16610242478,38.998
831,8122238114,647009336,3985,16612162786,38.947
831,8122242756,647136968,3990,16612221177,38.955
831,8123481162,647340749,4258,16617156068,38.956
831,8112191222,646849553,4109,16572373510,39.031
831,8112190056,648081899,4075,16572367867,39.106
831,Avg,8117315808,647303196,4058.300,16592691830,39.010

# Matrix size 1024
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
1024,15180165751,1083582618,14544,31051944457,34.895
1024,15145846804,1082439738,13012,30916520023,35.011
1024,15185513990,1084315989,14902,31073675000,34.895
1024,15182655518,1085635501,14378,31062009043,34.950
1024,15156149626,1083645194,13274,30958326274,35.003
1024,15155630264,1083389136,13637,30956248189,34.997
1024,15181633107,1085522018,14612,31057891140,34.951
1024,15152633033,1083202917,13608,30944024835,35.005
1024,15149387344,1082300393,13151,30930905128,34.990
1024,15179876241,1085053196,13887,31050791987,34.944
1024,Avg,15166949167,1083908670,13900.500,31000233607,34.964

# Matrix size 2048
Matrix size,L1-dcache-loads,L1-dcache-load-misses,Execution Time(ms),Instructions,MPKI
2048,121083493850,13903801001,158083,247526949769,56.170
2048,120723135980,13822987182,155980,246114068979,56.164
2048,121056128351,13928700675,155850,247415379715,56.296
2048,120704530496,13690934514,153726,246038719540,55.645
2048,120704534967,13759271836,155081,246038539108,55.923
2048,121084921950,13919165337,157113,247535508093,56.230
2048,121087331779,13957632381,160221,247543326289,56.384
2048,121106028630,13952696647,161894,247621135067,56.346
2048,120721584971,13690863497,158557,246108259996,55.629
2048,121123606766,13956805139,163840,247692745758,56.347
2048,Avg,120939529774,13858285820,158034.500,246963463231,56.113
