Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2115594,81282,0,7803714,10.413
64,4950628,155074,.200,14080743,11.011
128,26175067,2212006,6.700,60391921,36.627
256,189798148,17048280,86.700,413975338,41.181
512,1485231530,135664782,704.400,3204466750,42.335
831,6332068420,99813972,2048.700,13628884742,7.323
1024,11778804248,1085039701,4921.100,25328109839,42.838
2048,93805254672,8668507775,34091.100,201351816563,43.051
