Matrix size,Avg L1-dcache-loads,Avg L1-dcache-load-misses,Avg Execution Time(ms),Avg Instructions,Avg MPKI
32,2262306,86679,0,8172826,10.586
64,6166208,93426,.200,17048451,5.479
128,36264441,349177,5.600,85035846,4.105
256,272211274,2217039,46.900,615505989,3.601
512,2141805049,17251978,477.000,4811127409,3.585
831,9120086365,73035449,1771.300,20453036962,3.570
1024,17017656758,136547645,3570.200,38147660420,3.579
2048,135744346750,1145279075,26728.400,304098013593,3.765
